0.01	68.59695524    	133.97713160 	277.98767897
0.02	71.15185696 	129.96749186	275.47359686
0.04	74.97404081 	132.06021693	305.91485841
0.1	78.67181219 	142.68332830	304.47448247
0.2	83.79280037 	147.84515308	318.21350369
0.5	101.30885300 	171.20188311	330.43973104
1	136.58168133 	210.85784381	419.15884336
2	183.84062545	278.14640090	508.14171128
5	316.04475777 	430.64158006	687.46111556
10	433.46427134 	555.28981340	853.30008748
25	577.24859212 	681.78755928	988.78368707
50	675.38447048	825.34519938	1073.24491924
100	662.28337031	884.06354012	1109.00323511
